Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Щорс,Валентина,Дмитрівна,Жіноча,2010-07-15,Журналіст,село Вараш,"парк Костанді 2-й, буд. 8, Кагарлик, 28087",+380 (48) 848-53-63,martyndrozdenko@example.org
Свириденко,Яків,Євгенович,Чоловіча,2005-03-16,Лікар,селище Боярка,"сквер Юннатів 3-й, буд. 1, Теребовля, 26050",+380 44 607-95-92,frantsshakhrai@example.com
Охріменко,Ада,Степанівна,Жіноча,1966-06-25,Стропальник,місто Андрушівка,"вулиця Могилівська, буд. 094, Березань, 05837",+380 66 594-42-02,ieremenkoboryslav@example.com
Сагаль,Сергій,Володимирович,Чоловіча,2002-02-06,Кіноактор,селище Мелітополь,"набережна 11-та Лінія Марії Демченко, буд. 462 кв. 689, Святогірськ, 52121",943 00 35,korzhorysia@example.net
Шухевич,Оксана,Богданівна,Жіноча,1965-01-30,Кінокритик,село Ладижин,"парк Льва Симиренка, буд. 20, Семенівка, 62268",+380 73 084-11-46,roksolana41@example.org
Оробець,Валентина,Дмитрівна,Жіноча,2006-02-26,Паблік рилейшнз,село Краматорськ,"парк Сільська, буд. 69 кв. 519, Лутугине, 83419",+380 40 743-73-29,nestorizhak@example.com
Вернигора,Дан,Богданович,Чоловіча,1974-04-17,Літературознавець,хутір Прип'ять,"проспект Мечникова, буд. 3 кв. 3, Хрустальний, 70835",+380 59 763-01-99,olenaliashko@example.com
Ісаєвич,Пилип,Сергійович,Чоловіча,1999-04-14,Стропальник,селище Лиман,"шосе Монастирський, буд. 86, Сіверськодонецьк, 53315",+380 07 605 15 73,andriienkobohodar@example.net
Зінченко,Аврелій,Павлович,Чоловіча,1958-02-09,Ріелтор,село Куп'янськ,"шосе Басейний 6-й, буд. 13 кв. 2, Глиняни, 46741",+380 65 754-62-44,borys93@example.com
Корж,Ярина,Іванівна,Жіноча,1966-08-11,Електромонтер,хутір Почаїв,"шосе Донорська, буд. 897 кв. 516, Нова Одеса, 76011",+380 44 421 09 45,ygerus@example.org
Дубина,Ярослава,Тарасівна,Жіноча,2002-01-27,Кур'єр,селище Прилуки,"узвіз Сергія Ейзенштейна, буд. 37 кв. 855, Березівка, 52192",+380 84 678-32-03,klavdiiakolisnychenko@example.com
Сомко,Леопольд,Тарасович,Чоловіча,1989-08-27,Композитор,хутір Гребінка,"парк 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 980 кв. 636, Любомль, 39307",+380 09 556 74 91,zasenkoanastasiia@example.com
Бабиченко,Ілля,Петрович,Чоловіча,1959-01-25,Правник,місто Бурштин,"шосе Східний 2-й, буд. 31 кв. 4, Яготин, 19871",509-45-81,artymovycholes@example.net
Заруба,Любов,Сергіївна,Жіноча,1947-11-23,Стиліст,селище Деражня,"провулок Мацієвської узвіз, буд. 80, Лиман, 13710",+380 (68) 378-53-14,stefanvyshniak@example.org
Цюцюра,Пріска,Романівна,Жіноча,1967-07-22,Науковець,хутір Звенигородка,"проспект Театральний, буд. 72 кв. 447, Путивль, 98065",+380 47 406-23-70,okseniiahuz@example.com
Девдюк,Ярослав,Тарасович,Чоловіча,1978-12-26,Няня,селище Зміїв,"вулиця Дорбуду, буд. 6 кв. 671, Косів, 78732",014 212 14 67,martyn25@example.org
Ґерета,Володимира,Євгенівна,Жіноча,1958-05-17,Кушнір,селище Кам'янка (Черкаська область),"провулок Охтирський, буд. 106 кв. 4, Краматорськ, 06928",+380 33 278-49-97,udarahan@example.net
Пелех,Людмила,Михайлівна,Жіноча,1947-07-05,Піаніст,хутір Новгород-Сіверський,"набережна Баркасний, буд. 63 кв. 6, Попасна, 24014",996 28 99,nadiiatsushko@example.net
Шинкаренко,Дарина,Анатоліївна,Жіноча,1965-08-12,Драматург,хутір Переяслав,"парк Баркасний, буд. 7, Скадовськ, 77104",+380 81 091-86-90,priskariabovil@example.net
Ющенко,Зиновій,Вікторович,Чоловіча,1967-07-26,Пекар,місто Алупка,"узвіз Олександра Болдирєва, буд. 40 кв. 3, Хирів, 83625",+380 69 025 06 43,syrotenkomariana@example.net
Рева,Семен,Анатолійович,Чоловіча,1951-02-19,Письменник,місто Саки,"площа Високий, буд. 9 кв. 3, Переяслав, 31572",073-15-82,oleschernenko@example.org
Гаврилець,Яків,Юрійович,Чоловіча,1963-01-30,Гірник,селище Петрово-Красносілля,"шосе Саксаганського, буд. 7, Сімферополь, 94933",037 41 61,iaryna44@example.org
Гупало,Ліза,Тарасівна,Жіноча,1977-02-12,Модельєр,селище Лиман,"набережна Пастера, буд. 99 кв. 3, Верхньодніпровськ, 39240",+380 79 633-19-44,xiaremkiv@example.org
Ярош,Клавдія,Іванівна,Жіноча,2001-09-27,Машиніст,село Довжанськ,"проспект Академічний, буд. 364 кв. 42, Олевськ, 09409",+380 (98) 950-46-04,tymofiidemianenko@example.net
Гриценко,Володимир,Андрійович,Чоловіча,1953-01-15,Економіст,селище Золочів,"площа Нафтовиків, буд. 8 кв. 582, Берестечко, 31495",028 210 20 49,vasylechkoivan@example.net
Артюшенко,Валерій,Степанович,Чоловіча,1978-08-28,Юрист,селище Самар,"шосе Юрія Асєєва, буд. 2, Снятин, 63422",+380 69 382-94-59,hordii57@example.com
Власюк,Аарон,Богданович,Чоловіча,1957-01-17,Письменник,селище Буринь,"проспект Дачний 1-й, буд. 05 кв. 7, Боково-Хрустальне, 56824",+380 (18) 598-89-42,nataliia04@example.net
Лесик,Роман,Євгенович,Чоловіча,1961-07-13,Мистецтвознавець,місто Святогірськ,"узвіз Кінбурнський, буд. 7 кв. 3, Суходільськ, 37710",+380 61 980-72-78,anzhelaandriienko@example.net
Шаблій,Нестор,Петрович,Чоловіча,1961-03-03,Бухгалтер,село Олександрівськ,"шосе Кримський, буд. 63, Жидачів, 32259",+380 23 922-45-49,vatamaniukvalentyna@example.org
Іванченко,Дмитро,Васильович,Чоловіча,1989-02-18,Історик,місто Судова Вишня,"сквер Березова, буд. 14 кв. 832, Вилкове, 24010",+380 22 427-19-85,savenkovarvara@example.org
Деряжний,Геннадій,Степанович,Чоловіча,1971-08-29,Музичний редактор,село Луцьк,"набережна Волокидіна, буд. 907, Кремінна, 81818",327-45-24,ppetliura@example.org
Тесля,Святослав,Павлович,Чоловіча,1968-03-16,Гірник,село Кривий Ріг,"шосе Залізничний 3-й, буд. 16 кв. 75, Святогірськ, 43795",+380 84 420-83-46,iukhym84@example.org
Єрьоменко,Аліна,Василівна,Жіноча,1981-02-28,Диригент,селище Погребище,"парк Бучми, буд. 456, Яворів, 73790",161 40 12,hdavydenko@example.org
Архимович,Віра,Дмитрівна,Жіноча,1998-03-12,Модельєр,селище Монастириська,"парк Лиманний, буд. 3, Малин, 13680",764 06 27,parmen66@example.org
Сагаль,Стефан,Євгенович,Чоловіча,1995-02-14,Секретар,місто Шахтарське,"шосе Крижанівський, буд. 80, Шпола, 16376",065-03-87,nosachenkoamvrosii@example.com
Фартушняк,Златослава,Степанівна,Жіноча,2010-01-27,Модель,місто Зборів,"вулиця Лугова, буд. 1, Павлоград, 06597",044 330-38-21,marusiatsisyk@example.org
Євтушок,Устим,Степанович,Чоловіча,1953-03-17,Шериф,селище Городенка,"проспект Перший Кришталевий, буд. 4 кв. 971, Харків, 82083",082 140-80-68,danylochumak@example.com
Товстоліс,Лукʼян,Павлович,Чоловіча,1982-04-21,Письменник,селище Гола Пристань,"узвіз 11-та ст. Великого Фонтану пляж, буд. 04, Люботин, 76739",816 58 76,iustymrebryk@example.net
Влох,Онисим,Юрійович,Чоловіча,1985-01-20,Науковець,хутір Ланівці,"набережна Тетяни Тесс, буд. 7 кв. 193, Фастів, 90178",+380 30 787 27 77,ivantokar@example.net
Іщенко,Варвара,Павлівна,Жіноча,1975-05-12,Єгер,село Сарни,"вулиця Мелітопольська, буд. 42, Сіверськ, 26429",068 193 43 21,antonhrechko@example.net
Арсенич,Климент,Григорович,Чоловіча,1969-10-21,Патологоанатом,селище Горохів,"проспект Сумський, буд. 8 кв. 489, Мерефа, 57446",655 16 22,babiukvarvara@example.com
Дашенко,Трохим,Іванович,Чоловіча,1986-01-06,Няня,село Семенівка,"парк 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 117, Берислав, 76056",206-64-88,andrii77@example.com
Ящук,Богданна,Андріївна,Жіноча,1955-11-14,Агроном,село Гребінка,"набережна Гранатний, буд. 7, Верхівцеве, 20483",046 238-80-76,iryna77@example.com
Жайворон,Дан,Григорович,Чоловіча,1978-07-03,Дерун,хутір Жидачів,"площа 6-та Лінія Марії Демченко, буд. 397, Носівка, 44011",+380 20 600-80-81,alevtyn32@example.com
Батіг,Василина,Андріївна,Жіноча,1950-06-29,Історик,місто Львів,"шосе Чумацька, буд. 529 кв. 0, Тальне, 50220",+380 23 402-63-10,tsisyksemen@example.org
Гаврюшенко,Ірина,Михайлівна,Жіноча,1998-10-13,Євнух,селище Черкаси,"набережна Танфільєва, буд. 3 кв. 7, Чистякове, 92277",+380 (23) 118-63-68,romanenkoliudmyla@example.com
Романець,Симон,Григорович,Чоловіча,2005-07-02,Актор,хутір Докучаєвськ,"набережна Андрія Гулого-Гуленка, буд. 64, Лохвиця, 19214",088 363 34 98,sirobabaarkadii@example.net
Тарасенко,Роксолана,Олександрівна,Жіноча,1985-09-15,Паралегал,село Добромиль,"проспект Виноградна, буд. 9 кв. 981, Кобеляки, 14715",+380 02 161-04-55,alevtyn11@example.org
Палій,Роман,Євгенович,Чоловіча,1980-02-05,Юрист,місто Перемишляни,"узвіз Рибальський, буд. 17, Кіцмань, 48507",+380 33 708-93-49,mykhailyna42@example.net
Козак,Еріка,Миколаївна,Жіноча,1990-12-10,Гірник,селище Дубляни,"площа Довженка, буд. 8, Севастополь, 03686",+380 30 606 89 35,riabetsvitalii@example.net
Скиба,Богуслав,Михайлович,Чоловіча,2004-06-26,Фермер,хутір Златопіль,"набережна Максима Чайки, буд. 0 кв. 49, Родинське, 85610",+380 (28) 167-25-50,zatovkaniukpavlo@example.net
Олійник,Антон,Степанович,Чоловіча,1985-10-21,Перекладач,село Скалат,"вулиця Проектований 3-й, буд. 79, Гребінка, 38646",+380 01 278 35 47,ikarpa@example.org
Килимник,Марта,Богданівна,Жіноча,1991-09-27,Астрофізик,село Ровеньки,"парк Ігоря Бедзая, буд. 6 кв. 594, Підгородне, 59801",058 166-85-82,danylolutsenko@example.com
Титаренко,Арсен,Анатолійович,Чоловіча,1990-03-07,Перекладач,місто Ананьїв,"проспект Давида Бурлюка, буд. 55, Білопілля, 91800",+380 92 070-58-98,illia39@example.com
Сомко,Святослава,Романівна,Жіноча,1949-10-17,Намотувальник,село Білогірськ,"сквер Вінницька, буд. 80, Глухів, 74170",078 006-88-76,iakiv68@example.com
Петрик,Леон,Миколайович,Чоловіча,1970-07-21,Сантехнік,селище Новоукраїнка,"вулиця Юхима Геллера, буд. 049 кв. 2, Південне, 52609",036 61 62,davyd36@example.com
Колісниченко,Арсен,Богданович,Чоловіча,1993-11-10,Нотаріус,місто Сокологірськ,"проспект Капітана Кузнецова, буд. 109 кв. 5, Перевальськ, 34473",+380 85 360-05-26,mykytabaklan@example.org
Забашта,Оксана,Дмитрівна,Жіноча,1992-04-21,Програміст,місто Конотоп,"узвіз Строганов міст, буд. 258 кв. 2, Новий Буг, 57725",+380 25 292-22-59,ishylo@example.net
Рева,Людмила,Степанівна,Жіноча,1972-09-14,Кушнір,селище Ромни,"шосе Лінія 24-та, буд. 87 кв. 07, Тараща, 95431",068 210 74 16,ezinchenko@example.org
Дейсун,Ганна,Петрівна,Жіноча,1989-05-31,Біолог,селище Світлодарськ,"парк Грецька, буд. 553 кв. 8, Феодосія, 73200",+380 (36) 300-79-57,trokhym92@example.org
Базавлученко,Назар,Романович,Чоловіча,1999-08-04,Фотограф,хутір Монастириська,"площа Восьмого березня 3-й, буд. 458, Соледар, 85040",+380 (60) 465-79-62,nudovenko@example.com
Яковенко,Леопольд,Григорович,Чоловіча,2001-09-24,Астрофізик,село Багачеве,"сквер Обсерваторний, буд. 587 кв. 10, Радивилів, 15432",+380 65 317-10-10,danchenkofeofan@example.com
Швайка,Аніта,Євгенівна,Жіноча,1986-05-08,Агроном,селище Теребовля,"вулиця Абрикосовий, буд. 4, Дрогобич, 18213",024 232 67 41,iefremmykhailiuk@example.com
Бандура,Геннадій,Михайлович,Чоловіча,1986-01-31,Фольклорист,селище Берислав,"вулиця Люстдорфський, буд. 895 кв. 0, Тернопіль, 41234",+380 65 812 18 49,ivanmykytiuk@example.org
Чарниш,Мирослав,Степанович,Чоловіча,2005-01-21,Хореограф,село Коростень,"шосе Івасюка Володимира, буд. 8 кв. 8, Зіньків, 48407",+380 24 090-92-42,panteleimon46@example.com
Запорожець,Омелян,Васильович,Чоловіча,1969-05-14,Краєзнавець,хутір Олександрівськ,"площа Дубовий гай, буд. 0 кв. 517, Мирноград, 15646",265 40 24,orestdzyndra@example.net
Оліфіренко,Ілля,Дмитрович,Чоловіча,1985-04-11,Археолог,місто Петрово-Красносілля,"узвіз Польовий 1-й, буд. 83, Бунге, 32263",+380 73 449 94 62,kashchenkohalyna@example.net
Овчаренко,Галина,Богданівна,Жіноча,1954-03-02,Доцент,місто Калуш,"проспект Академіка Богатського, буд. 20 кв. 2, Олешки, 20105",064-53-14,skorykdan@example.com
